 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+04         3.16228E+06         1.80000E+02         1.00000E-04         4.57642E-05
     1.00000E+04         1.00000E+07         1.80000E+02         1.00000E-04         4.82204E-05
     1.00000E+04         3.16228E+07         1.80000E+02         1.00000E-04         5.05230E-05
     1.00000E+04         1.00000E+08         1.80000E+02         1.00000E-04         5.65020E-05
     1.00000E+04         3.16228E+08         1.80000E+02         1.00000E-04         6.66044E-05
     1.00000E+04         1.00000E+09         1.80000E+02         1.00000E-04         7.16203E-05
     3.16228E+04         1.00000E+04         1.80000E+02         1.00000E-04         1.79784E-07
     3.16228E+04         3.16228E+04         1.80000E+02         1.00000E-04         1.23385E-05
     3.16228E+04         1.00000E+05         1.80000E+02         1.00000E-04         3.48331E-04
     3.16228E+04         3.16228E+05         1.80000E+02         1.00000E-04         2.01710E-03
     3.16228E+04         1.00000E+06         1.80000E+02         1.00000E-04         3.38450E-03
     3.16228E+04         3.16228E+06         1.80000E+02         1.00000E-04         3.84944E-03
     3.16228E+04         1.00000E+07         1.80000E+02         1.00000E-04         4.05557E-03
     3.16228E+04         3.16228E+07         1.80000E+02         1.00000E-04         4.24530E-03
     3.16228E+04         1.00000E+08         1.80000E+02         1.00000E-04         4.73930E-03
     3.16228E+04         3.16228E+08         1.80000E+02         1.00000E-04         5.57002E-03
     3.16228E+04         1.00000E+09         1.80000E+02         1.00000E-04         5.97971E-03
     1.00000E+05         1.00000E+04         1.80000E+02         1.00000E-04         1.91534E-05
     1.00000E+05         3.16228E+04         1.80000E+02         1.00000E-04         1.01105E-03
     1.00000E+05         1.00000E+05         1.80000E+02         1.00000E-04         2.13281E-02
     1.00000E+05         3.16228E+05         1.80000E+02         1.00000E-04         1.14054E-01
     1.00000E+05         1.00000E+06         1.80000E+02         1.00000E-04         1.98106E-01
     1.00000E+05         3.16228E+06         1.80000E+02         1.00000E-04         2.27992E-01
     1.00000E+05         1.00000E+07         1.80000E+02         1.00000E-04         2.40247E-01
     1.00000E+05         3.16228E+07         1.80000E+02         1.00000E-04         2.50738E-01
     1.00000E+05         1.00000E+08         1.80000E+02         1.00000E-04         2.77701E-01
     1.00000E+05         3.16228E+08         1.80000E+02         1.00000E-04         3.22210E-01
     1.00000E+05         1.00000E+09         1.80000E+02         1.00000E-04         3.43736E-01
     3.16228E+05         1.00000E+04         1.80000E+02         1.00000E-04         1.14413E-03
     3.16228E+05         3.16228E+04         1.80000E+02         1.00000E-04         4.18671E-02
     3.16228E+05         1.00000E+05         1.80000E+02         1.00000E-04         5.80056E-01
     3.16228E+05         3.16228E+05         1.80000E+02         1.00000E-04         2.81204E+00
     3.16228E+05         1.00000E+06         1.80000E+02         1.00000E-04         5.47000E+00
     3.16228E+05         3.16228E+06         1.80000E+02         1.00000E-04         6.60938E+00
     3.16228E+05         1.00000E+07         1.80000E+02         1.00000E-04         7.02982E+00
     3.16228E+05         3.16228E+07         1.80000E+02         1.00000E-04         7.32203E+00
     3.16228E+05         1.00000E+08         1.80000E+02         1.00000E-04         7.99374E+00
     3.16228E+05         3.16228E+08         1.80000E+02         1.00000E-04         9.06339E+00
     3.16228E+05         1.00000E+09         1.80000E+02         1.00000E-04         9.56902E+00
     1.00000E+06         1.00000E+04         1.80000E+02         1.00000E-04         5.08356E-02
     1.00000E+06         3.16228E+04         1.80000E+02         1.00000E-04         8.18889E-01
     1.00000E+06         1.00000E+05         1.80000E+02         1.00000E-04         6.04881E+00
     1.00000E+06         3.16228E+05         1.80000E+02         1.00000E-04         2.60721E+01
